Código;Nome;Categoria;Stock;Valor Unit.;Valor Total
;Profender gato 1,12ml - 5-8kg - pipeta;Felídeos - Desp.externo - Pipeta;0.00;0;0
;Champô Megamazon Forest Soul Cupuaçú 300ml;Bem-estar Animal;5.00;27,6;27,6
;TOW CÃO ADULTO VEADO 2KG - Pine Forest;Felídeos - Ração - Seca;0.00;0;0
;Omeprazol 5mg - 60 cápsulas;Medicamentos;1.00;25;25
;Cavia Complete Cobaias 1.75Kg;Leporídeos - Ração;0.00;0;0
;NÃO TEMOS - RC Kit Gastrointestinal Kitten;Felídeos - Rações;0.00;0;0
;Amanova Gato Atum e Quinoa - lata 70g;Felídeos - Ração - Húmida;0.00;0;0
;Amanova Kitten Frango & Peixe - lata 85g;Felídeos - Ração - Húmida;0.00;0;0
;Kong Cat Pull-a-partz Purrito;Bem-estar Animal;1.00;3,45;3,45
;Lasa (famotidina 10mg) - comprimido;Medicamentos;42.00;21,42;21,42
;Veraflox cão 60mg - comprimido;Medicamentos;0.00;0;0
;Areia Sanicat Active White Fragrance Free 6l;Bem-estar Animal;0.00;0;0
